iter	RMSE
0	8.979313793
1	8.66322911
2	8.36702137
3	8.091579556
4	7.825287957
5	7.59323311
6	7.363340309
7	7.150395894
8	6.953279882
9	6.777214748
10	6.607788442
11	6.447555264
12	6.306107644
13	6.170487902
14	6.036092213
15	5.917122893
16	5.803885139
17	5.701505127
18	5.611942729
19	5.527461441
20	5.439553034
21	5.356810106
22	5.285219772
23	5.225085804
24	5.16522166
25	5.10916292
26	5.052692621
27	5.007004273
28	4.963853758
29	4.922755644
30	4.885847681
31	4.845187248
32	4.797040429
33	4.761222155
34	4.729955758
35	4.704277461
36	4.681963893
37	4.657755685
38	4.627737636
39	4.581764911
40	4.561077652
41	4.540219546
42	4.524260305
43	4.470893882
44	4.429283798
45	4.410546633
46	4.397307889
47	4.382924117
48	4.357866593
49	4.346439665
50	4.331870728
51	4.307099135
52	4.298634
53	4.2886813
54	4.276525281
55	4.251158943
56	4.239045643
57	4.219360347
58	4.213603381
59	4.208937559
60	4.199587567
61	4.189933853
62	4.179401172
63	4.161888856
64	4.156086724
65	4.134836746
66	4.122148375
67	4.107100873
68	4.101015836
69	4.097383379
70	4.083637045
71	4.077310281
72	4.066470311
73	4.058237667
74	4.055909453
75	4.043981022
76	4.037023556
77	4.021714707
78	4.016719138
79	4.013858017
80	4.01086234
81	4.008880443
82	4.005949642
83	4.000577311
84	3.998568526
85	3.988691146
86	3.976374349
87	3.96984953
88	3.960477839
89	3.958074407
90	3.948875176
91	3.945242729
92	3.932688851
93	3.930259711
94	3.930024754
95	3.927801202
96	3.916916141
97	3.90908721
98	3.905949305
99	3.902046017
100	3.894145644
101	3.88920573
102	3.887419639
103	3.880584606
104	3.878487821
105	3.875648926
106	3.869627061
107	3.864978686
108	3.863157517
109	3.861776249
110	3.853657405
111	3.850536455
112	3.847063422
113	3.845942288
114	3.845105812
115	3.843712636
116	3.842186915
117	3.840657456
118	3.839288896
119	3.837286983
120	3.835448406
121	3.833447642
122	3.829899838
123	3.829143732
124	3.823562019
125	3.819147216
126	3.818661869
127	3.818599184
128	3.816149932
129	3.815220489
130	3.814019062
131	3.812521796
132	3.811284442
133	3.807988334
134	3.806484869
135	3.803496165
136	3.801931801
137	3.800417385
138	3.799796622
139	3.799766873
140	3.798323905
141	3.796398661
142	3.795830265
143	3.794672198
144	3.793419991
145	3.791180602
146	3.789930496
147	3.785204108
148	3.783799735
149	3.782173476
150	3.781150708
151	3.779961941
152	3.77892821
153	3.775132887
154	3.774118935
155	3.772787812
156	3.770682309
157	3.769445145
158	3.765419985
159	3.764177516
160	3.764056884
161	3.761725843
162	3.760590445
163	3.760178147
164	3.758946654
165	3.758202166
166	3.756006874
167	3.754167899
168	3.7533665
169	3.752638889
170	3.750183875
171	3.749053425
172	3.747802169
173	3.744123219
174	3.743099394
175	3.742890248
176	3.741567544
177	3.738287784
178	3.735406449
179	3.734474149
180	3.733759172
181	3.733051227
182	3.732470178
183	3.731276127
184	3.730034591
185	3.729090931
186	3.725552969
187	3.724286497
188	3.722677565
189	3.722261192
190	3.71996033
191	3.719401334
192	3.718493304
193	3.7173718
194	3.716887536
195	3.715685193
