iter	Passed	Remaining
0	48	51839
1	99	52855
2	150	53156
3	199	52770
4	249	52660
5	299	52774
6	349	52659
7	399	52646
8	451	52811
9	504	53069
10	555	53085
11	606	53026
12	655	52871
13	706	52887
14	755	52756
15	803	52536
16	851	52341
17	901	52275
18	955	52478
19	1010	52639
20	1065	52810
21	1122	53077
22	1175	53112
23	1192	51571
24	1245	51644
25	1293	51537
26	1340	51400
27	1388	51289
28	1439	51287
29	1490	51289
30	1541	51270
31	1592	51248
32	1643	51259
33	1694	51231
34	1745	51212
35	1794	51151
36	1846	51148
37	1897	51142
38	1946	51065
39	1995	50987
40	2045	50948
41	2097	50941
42	2149	50935
43	2199	50889
44	2251	50892
45	2305	50915
46	2355	50878
47	2406	50841
48	2454	50739
49	2504	50681
50	2556	50682
51	2606	50621
52	2657	50601
53	2708	50567
54	2759	50532
55	2811	50501
56	2860	50440
57	2912	50420
58	2964	50396
59	3014	50347
60	3066	50313
61	3114	50235
62	3168	50237
63	3220	50219
64	3269	50153
65	3320	50105
66	3369	50035
67	3418	49966
68	3469	49927
69	3518	49867
70	3570	49831
71	3621	49799
72	3670	49732
73	3722	49700
74	3771	49633
75	3822	49596
76	3874	49562
77	3925	49524
78	3975	49464
79	4024	49395
80	4074	49343
81	4124	49294
82	4174	49243
83	4227	49220
84	4280	49205
85	4333	49175
86	4384	49131
87	4435	49089
88	4487	49062
89	4539	49022
90	4591	48990
91	4643	48958
92	4695	48922
93	4747	48891
94	4795	48813
95	4847	48773
96	4897	48725
97	4949	48683
98	5001	48655
99	5057	48649
100	5111	48630
101	5161	48577
102	5214	48555
103	5266	48513
104	5317	48461
105	5365	48389
106	5418	48359
107	5467	48295
108	5517	48236
109	5567	48183
110	5617	48129
111	5668	48080
112	5720	48037
113	5770	47985
114	5823	47952
115	5875	47916
116	5926	47870
117	5978	47824
118	6028	47774
119	6081	47735
120	6132	47690
121	6185	47662
122	6240	47640
123	6291	47589
124	6344	47557
125	6388	47458
126	6426	47316
127	6464	47168
128	6502	47026
129	6539	46885
130	6578	46755
131	6619	46636
132	6656	46498
133	6694	46362
134	6734	46241
135	6771	46108
136	6810	45980
137	6847	45846
138	6885	45720
139	6924	45599
140	6959	45459
141	6996	45332
142	7047	45292
143	7101	45269
144	7150	45221
145	7198	45166
146	7250	45130
147	7303	45101
148	7353	45056
149	7405	45022
150	7453	44968
151	7503	44919
152	7555	44888
153	7605	44840
154	7658	44811
155	7705	44753
156	7757	44715
157	7805	44660
158	7858	44632
159	7909	44592
160	7960	44547
161	8009	44495
162	8060	44457
163	8110	44410
164	8161	44371
165	8213	44333
166	8265	44297
167	8317	44262
168	8367	44215
